i,x_i,y*_i,y_i,|y*_i-y_i|
0,0,3.0,3.0,0.0
1,0.05,3.1512075364018104,3.1512075318303365,4.571473866121778e-09
2,0.1,3.304653663625346,3.3046536543582263,9.267119516209732e-09
3,0.15,3.460057894101788,3.460057880080123,1.402166516228931e-08
4,0.2,3.6171172175907413,3.61711785364618,6.3605543854095e-07
5,0.25,3.775504275953221,3.7755056064582386,1.3305050177159217e-06
6,0.3,3.9348656570543326,3.93486762771909,1.9706647576001046e-06
7,0.35,4.094820377653821,4.094822946514884,2.5688610634233555e-06
8,0.4,4.25495863106303,4.254961720784624,3.0897215941294576e-06
9,0.45,4.414840879566474,4.414844374896105,3.495329631064692e-06
10,0.5,4.5739973736504895,4.574001124130651,3.750480161102132e-06
11,0.55,4.731928179494728,4.731931998349699,3.8188549709161634e-06
12,0.6,4.888103792557063,4.8881074572436995,3.6646866368172937e-06
13,0.65,5.041966408091051,5.04196966280003,3.254708978772669e-06
14,0.7,5.192931908862112,5.1929344686734416,2.559811329128081e-06
15,0.75,5.340392616102349,5.340394172923484,1.556821135118014e-06
16,0.8,5.4837208319633195,5.4837210622538874,2.302905679485434e-07
17,0.85,5.6222731806818365,5.622271754831994,1.4258498426400479e-06
18,0.9,5.75539573185958,5.75539232498866,3.4068709204859715e-06
19,0.95,5.882429863369923,5.882424167204063,5.696165859880864e-06
20,1.0,6.002718794331646,6.002710529715672,8.264615973807565e-06
