i,x_i,y*_i,y_i,|y*_i-y_i|
0,0,3,3,0
1,0.1,3.304653663625346,3.304653514063349,1.495619970093287e-07
2,0.2,3.6171172175907413,3.6171169142013846,3.0338935674834033e-07
3,0.3,3.9348656570543326,3.9348652034998217,4.535545108375061e-07
4,0.4,4.25495863106303,4.254958038290064,5.9277296582394e-07
5,0.5,4.5739973736504895,4.573996658533631,7.151168581742695e-07
6,0.6,4.888103792557063,4.888102975942303,8.166147598132056e-07
7,0.7,5.192931908862112,5.192931013254377,8.956077355293246e-07
8,0.8,5.4837208319633195,5.4837198792065935,9.527567259581815e-07
9,0.9,5.75539573185958,5.755394741191898,9.906676821103133e-07
10,1.0,6.002718794331646,6.002717781127652,1.0132039935939474e-06
